transaction_id,portfolio_id,recommendation_timestamp,submission_timestamp,fill_timestamp,action,ticker,quantity,order_type,limit_price,fill_price,currency,fx_rate,commission,other_fees,slippage,total_sar_cash_effect,status,reason,linked_thesis_id
T0001,B,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,VTI,96,MARKET_NEXT_OPEN,391.12 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.62 USD (est.),,0.05% (assumed),-137237.14 (est.),PENDING,Initial deployment US core 70% sleeve; fill = NYSE Arca regular-session open 2026-09-08 09:30 ET + slippage; cancel if open > max price,CORE
T0002,B,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,9412,2035,MARKET_NEXT_OPEN,9.86 (max price guard),,SAR,1.0000,33.89 SAR (est.),,0.50% (assumed),-19508.84 (est.),CANCELLED 2026-09-08T15:06:00+03:00 (never filled),Initial deployment Saudi core (half of 20% sleeve); fill = Saudi Exchange open 2026-09-09 10:00 +03 + slippage; cancel if open > max price | CANCELLED before Saudi open under mandate amendment AM-001 (Saudi removed from strategic core; investor instruction 2026-09-08 ~15:00 +03),CORE
T0003,B,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,9413,1919,MARKET_NEXT_OPEN,10.45 (max price guard),,SAR,1.0000,33.89 SAR (est.),,0.50% (assumed),-19511.74 (est.),CANCELLED 2026-09-08T15:06:00+03:00 (never filled),Initial deployment Saudi core (half of 20% sleeve); fill = Saudi Exchange open 2026-09-09 10:00 +03 + slippage; cancel if open > max price | CANCELLED before Saudi open under mandate amendment AM-001 (Saudi removed from strategic core; investor instruction 2026-09-08 ~15:00 +03),CORE
T0004,B,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,SGOV,52,MARKET_NEXT_OPEN,103.48 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.47 USD (est.),,0.05% (assumed),-19676.11 (est.),PENDING,Initial deployment defensive 10% sleeve; fill = NYSE Arca open 2026-09-08 09:30 ET + slippage,CORE
T0005,C,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,VTI,48,MARKET_NEXT_OPEN,391.12 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.45 USD (est.),,0.05% (assumed),-68622.88 (est.),PENDING,Phased tranche 1 of 3 (50% of target); fill = NYSE Arca open 2026-09-08 09:30 ET + slippage,CORE
T0006,C,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,9412,1017,MARKET_NEXT_OPEN,9.86 (max price guard),,SAR,1.0000,16.93 SAR (est.),,0.50% (assumed),-9749.62 (est.),CANCELLED 2026-09-08T15:06:00+03:00 (never filled),Phased tranche 1 of 3; fill = Saudi Exchange open 2026-09-09 10:00 +03 + slippage | CANCELLED before Saudi open under mandate amendment AM-001 (Saudi removed from strategic core; investor instruction 2026-09-08 ~15:00 +03),CORE
T0007,C,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,9413,959,MARKET_NEXT_OPEN,10.45 (max price guard),,SAR,1.0000,16.94 SAR (est.),,0.50% (assumed),-9750.79 (est.),CANCELLED 2026-09-08T15:06:00+03:00 (never filled),Phased tranche 1 of 3; fill = Saudi Exchange open 2026-09-09 10:00 +03 + slippage | CANCELLED before Saudi open under mandate amendment AM-001 (Saudi removed from strategic core; investor instruction 2026-09-08 ~15:00 +03),CORE
T0008,C,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,SGOV,26,MARKET_NEXT_OPEN,103.48 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.38 USD (est.),,0.05% (assumed),-9842.36 (est.),PENDING,Phased tranche 1 of 3; fill = NYSE Arca open 2026-09-08 09:30 ET + slippage,CORE
T0009,D,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,VTI,83,MARKET_NEXT_OPEN,391.12 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.57 USD (est.),,0.05% (assumed),-118654.11 (est.),PENDING,Initial deployment US core 60% sleeve; fill = NYSE Arca open 2026-09-08 09:30 ET + slippage,CORE
T0010,D,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,9412,2035,MARKET_NEXT_OPEN,9.86 (max price guard),,SAR,1.0000,33.89 SAR (est.),,0.50% (assumed),-19508.84 (est.),CANCELLED 2026-09-08T15:06:00+03:00 (never filled),Initial deployment Saudi core; fill = Saudi Exchange open 2026-09-09 10:00 +03 + slippage | CANCELLED before Saudi open under mandate amendment AM-001 (Saudi removed from strategic core; investor instruction 2026-09-08 ~15:00 +03),CORE
T0011,D,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,9413,1919,MARKET_NEXT_OPEN,10.45 (max price guard),,SAR,1.0000,33.89 SAR (est.),,0.50% (assumed),-19511.74 (est.),CANCELLED 2026-09-08T15:06:00+03:00 (never filled),Initial deployment Saudi core; fill = Saudi Exchange open 2026-09-09 10:00 +03 + slippage | CANCELLED before Saudi open under mandate amendment AM-001 (Saudi removed from strategic core; investor instruction 2026-09-08 ~15:00 +03),CORE
T0012,D,2026-09-08T14:47:37+03:00,2026-09-08T14:47:37+03:00,,BUY,SGOV,52,MARKET_NEXT_OPEN,103.48 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.47 USD (est.),,0.05% (assumed),-19676.11 (est.),PENDING,Initial deployment defensive 10% sleeve; active 10% (SAR 20000) intentionally left in virtual SAR cash,CORE
T0013,B,2026-09-08T15:06:00+03:00,2026-09-08T15:06:00+03:00,,BUY,VTI,27,MARKET_NEXT_OPEN,391.12 (max price guard),,USD,3.7550 (ref; 0.25% cost assumed),2.38 USD (est.),,0.05% (assumed),-38604.14 (est.),PENDING,AM-001: redeploy former Saudi sleeve (SAR 40000) to US core; fill = NYSE Arca open 2026-09-08 09:30 ET + slippage,CORE
