thesis_id,security,ticker,industry,status,thesis_summary,market_expectation,differentiated_view,fair_value_range,entry_zone,add_zone,do_not_chase_price,thesis_breaker,key_macro_exposures,key_supply_chain_exposures,last_review,next_required_review,confidence
W-SA-01,stc (Saudi Telecom Company),7010,Telecom & digital infrastructure (SA),SCREENED — gates not run,Net-cash incumbent telecom with 32% EBITDA margin; SAR 0.55/qtr dividend policy to Q3-2027; ~15x earnings; low-growth compounder candidate,Consensus Outperform (18 analysts; target ~SAR 48) — yield/defensive story with low-single-digit growth,NOT YET FORMED — requires Gate 2-3 work; passive alternative is TASI ETF where stc is ~5%,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Dividend cut below SAR 0.55/qtr; EBITDA margin < 28%; net cash turns to net debt > 1x EBITDA without a stated return case,Saudi rates; government capex; regulatory pricing,Network equipment vendors (export controls); data-centre energy; spectrum licensing,2026-09-08,2026-10-03 (weekly outlook),LOW (screen only)
W-SA-02,Al Rajhi Bank,1120,Banks & financial infrastructure (SA),SCREENED — gates not run; concentration caution,Highest-ROE large Saudi bank (H1-26 ROE 23.3%); record Q2 profit; but already ~14% of the Saudi core ETFs' index,Consensus Buy (target ~SAR 75); NIM near peak; loan growth guidance cut to low single digits,NOT YET FORMED — an active position would raise single-name exposure above the 5% industry cap when combined with ETF look-through,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,NPL ratio > 1.5%; ROE < 17%; CET1 < 15%; mortgage-book credit event,SAMA/Fed rates; Saudi mortgage & consumer credit; oil-linked liquidity,Not applicable (financial); IT/core-banking vendors,2026-09-08,2026-10-03,LOW (screen only)
W-SA-03,Jarir Marketing,4190,Consumer (SA),SCREENED — gates not run,Very high ROIC (~55%) retailer; near-zero debt; ~5.3% yield; Q2-26 NP +19.5% helped by temporary supply-driven pricing,P/E ~18x; market extrapolating margin recovery (stock +35% YTD to Aug),NOT YET FORMED — key question is durability of gross-margin gain when smartphone supply normalises,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Gross margin reverting below FY-24 level; payout > 100% for 2 consecutive years; e-commerce share loss,Consumer spending; VAT/policy; SAR peg,Smartphone/PC supply (Hormuz shipping; tariffs); single-country revenue,2026-09-08,2026-10-03,LOW (screen only)
W-SA-04,Dr. Sulaiman Al Habib Medical Services,4013,Healthcare services (SA),SCREENED — gates not run; valuation caution,Capacity-led growth (Q2 revenue +18%); ROE 30%; but 34x trailing earnings and net debt SAR 7.4bn while new hospitals ramp,Consensus Outperform (target ~SAR 269); market pays for capacity growth and expects margin recovery,NOT YET FORMED — valuation likely fails Gate 3 hurdle at ~30x forward,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Occupancy/margin fails to recover 4 quarters after new-hospital openings; net debt/EBITDA > 3x,Government health spending; insurance pricing; Saudi rates,Medical equipment & pharma imports; clinical staffing,2026-09-08,2026-10-03,LOW (screen only)
W-SA-05,Almarai,2280,Consumer staples (SA),SCREENED — gates not run; leverage/margin caution,Regional dairy/food leader; revenue +11% but NP -2% (Q2-26); net debt SAR 13-14bn; feed-import disruption flagged,Consensus Buy (target ~SAR 58); ~19x 2026 P/E,NOT YET FORMED — margin pressure and leverage make it a weaker candidate than the ETF exposure it already has (~1-2% of index),NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Operating margin < 12% for 3 quarters; net debt/EBITDA > 3.5x,Feed/commodity prices; energy; Hormuz shipping; SAR peg,Imported feed (alfalfa/corn/soy); packaging; poultry supply chain,2026-09-08,2026-10-03,LOW (screen only)
W-US-01,Microsoft,MSFT,Enterprise software & cloud (US),SCREENED — gates not run,Azure +43% (Q4 FY26); >$100bn Azure run-rate; 47% operating margin; ~25x forward earnings; CY26 capex ~$190bn,Consensus Strong Buy (target ~$571); narrative = Azure acceleration vs capex-return scrutiny,NOT YET FORMED — already ~3.8% of VTI; an active position adds concentration to an exposure the core already holds,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Azure growth < 25% with capex still rising; FCF margin < 20%; material antitrust remedy,US rates; enterprise IT budgets; USD; AI regulation,GPU supply (NVIDIA/AMD); data-centre power & land; TSMC advanced nodes; export controls,2026-09-08,2026-10-03,LOW (screen only)
W-US-02,Visa,V,Financial infrastructure (US),SCREENED — gates not run,Global payments network; 67% operating margin; ~26x forward; payments volume >$4tn; DOJ debit case discovery to Jan-2027,Consensus Strong Buy (target ~$419); ~12% 3-yr revenue growth expected,NOT YET FORMED — regulatory/litigation overhang is the differentiated-view question; not a binary event within 90 days,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Adverse DOJ ruling with structural remedy; cross-border volume growth < 5% ex-crisis; interchange caps in US credit,Consumer spending; cross-border travel; USD; regulation,Not applicable (network); cybersecurity; data-centre resilience,2026-09-08,2026-10-03,LOW (screen only)
W-US-03,Intuitive Surgical,ISRG,Healthcare equipment (US),SCREENED — gates not run,Robotic-surgery leader; procedures +15%; net cash; but first credible competitors (J&J Ottava FDA De Novo 22-Jul-26; Medtronic Hugo); ~33x forward,Consensus Buy (target ~$478); market re-underwriting growth durability after -14% post-Q2 reaction,NOT YET FORMED — potential candidate if valuation compresses further while installed-base economics hold,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,US procedure growth < 8% for 2 quarters; dV5 placements decline y/y; competitor share > 15% of soft-tissue procedures,Hospital capex; US healthcare policy; tariffs,Instrument manufacturing (Mexico/US); semiconductors & optics; tariff exposure (~1pt GM),2026-09-08,2026-10-03,LOW (screen only)
W-US-04,Costco,COST,High-quality consumer platform (US),SCREENED — gates not run; valuation caution,Membership-fee compounder; comps +8.4% (Aug-26); net cash; but ~42x forward — likely fails Gate 3 hurdle,Consensus Buy (target ~$1077); Q4 FY26 earnings 24-Sep-26,NOT YET FORMED,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Renewal rate < 88%; comps ex-gas/FX < 2% for 3 quarters,Consumer spending; USD; tariffs on imports,Global sourcing; ocean freight; food inflation,2026-09-08,2026-10-03,LOW (screen only)
W-US-05,NVIDIA,NVDA,Semiconductors (US),SCREENED — gates not run; concentration caution,Revenue +106% (Q2 FY27); 75% GM; ~19x forward; but already ~6.4% of VTI — largest single look-through exposure in the core,Consensus Strong Buy (target ~$326); market discounts ~70% FY28 growth guidance,NOT YET FORMED — an active position is hard to justify under Rule 4 (diversification precedes conviction) given core look-through,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Data-centre revenue declines q/q for 2 quarters; hyperscaler capex cuts; export-control expansion to allies,AI capex cycle; export controls; US-China; rates,TSMC CoWoS capacity (single source); HBM (SK Hynix/Micron/Samsung); Taiwan concentration; power constraints,2026-09-08,2026-10-03,LOW (screen only)
W-US-06,Eli Lilly,LLY,Established healthcare (US),SCREENED — gates not run; litigation/pricing caution,Incretin franchise (+48% revenue); FY26 guide $85-87bn; ~28x forward; 4400+ product-liability suits; drug-pricing pressure,Consensus Buy (target ~$1315); ~20% 3-yr growth expected,NOT YET FORMED,NOT YET ESTIMATED,NOT SET,NOT SET,NOT SET,Incretin pricing declines > 20% y/y; safety signal on oral GLP-1; adverse mass-tort ruling,US drug-pricing policy; Medicare; USD,API manufacturing (US/Ireland); fill-finish capacity; device components,2026-09-08,2026-10-03,LOW (screen only)
