log_id,source,data_item,timestamp,freshness,reconciliation_result,error,correction,impact_on_decisions
Q0001,stockanalysis.com; Yahoo Finance history; MarketBeat,VTI official close 4-Sep-2026 = 379.73,2026-09-04T16:00:00-04:00,OFFICIAL CLOSE,3 sources agree on price; volume differs (2.44M vs 2.63M),None,None,Usable for sizing T0001/T0005/T0009; fill uses 8-Sep open (not yet observed)
Q0002,iShares product page; stockanalysis.com,SGOV official close 4-Sep-2026 = 100.47; NAV 100.4652; premium +0.01%,2026-09-04T16:00:00-04:00,OFFICIAL CLOSE,2 sources agree,None,None,Usable for sizing T0004/T0008/T0012
Q0003,saudiexchange.sa ETF market watch; Investing.com; Argaam,9412 last trade 9.55 (8-Sep 14:35 AST) vs 9.57 (Investing.com 6-Sep) vs 9.64 (Investing.com list undated); 7-Sep official close NOT FOUND,2026-09-08T14:35:00+03:00,RECENT DELAYED,Sources disagree by up to 0.9%; exchange profile pages rendered empty templates,Official close unavailable from free sources,Used 9.57 as reference with +3% max-price guard; fill will use the 9-Sep open which must be verified from ≥1 dated source,Sizing only; fill not assumed
Q0004,saudiexchange.sa ETF market watch; Argaam; stockevents.app,9413 last trade 10.15 (8-Sep 14:35 AST) vs Argaam 10.21 vs stockevents 10.16; iNAV 10.23,2026-09-08T14:35:00+03:00,RECENT DELAYED,Sources disagree by ~0.6%; fund <1 month old,No official close series found,Used 10.15 reference; +3% guard,Sizing only
Q0005,Investing.com; Trading Economics; XE (stale),USD/SAR 3.7550 (Investing.com) vs 3.7553 (TE) vs 3.75 (XE cached 5-Aug — discarded),2026-09-08 (time zone not shown),RECENT DELAYED,Agreement within 0.01%; XE stale,XE page stale,Discarded XE,FX reference 3.7550 for cost estimates
Q0006,Investing.com TASI history; Mubasher; Trading Economics; saudiexchange.sa,TASI close 7-Sep-2026 = 11024.73; intraday 8-Sep 11037.07 (14:37 AST delayed),2026-09-07T15:00:00+03:00,OFFICIAL CLOSE (7-Sep),3 sources agree,None,None,Benchmark reference
Q0007,MIAX corporate action alert 30-Oct-2025; SSGA,SPLG ticker no longer exists — renamed SPYM effective 31-Oct-2025,2025-10-31,n/a,Confirmed by 2 sources,Mandate/research assumptions referenced SPLG,Comparison uses SPYM,None (VTI selected)
Q0008,Vanguard press release 29-Apr-2026; Morningstar 28-Jul-2026,VTI renamed 'Vanguard Morningstar Total Stock Market ETF'; index rebranded (CRSP -> Morningstar); methodology unchanged per both parties,2026-07-29,n/a,Confirmed by 2 primary sources,None,None,Name recorded correctly in ledgers; monitor for any methodology change (core alert filter)
Q0009,Saudi Exchange ETF market watch; SAB Invest,9402 is now 'SAB Invest Saudi Quant ETF' (formerly HSBC Saudi 20 / MSCI Tadawul 30) — active quant; not a broad tracker,2026-09-08,n/a,Confirmed,Older sources still label it as MSCI Tadawul 30,Excluded from core candidates,None
Q0010,Sahm Capital public pages,FX spread; minimum deposit; W-8BEN process; ticker-level ETF availability; deposit/withdrawal fees — NOT FOUND (several pages blocked to automated fetch),2026-09-08,UNKNOWN,n/a,Gap,Assumed 0.25% FX cost; assumed VTI/SGOV tradable (US ETFs offered generically); flagged for investor to confirm in-app,Cost estimates carry ±0.25% uncertainty on US orders
Q0011,IRS.gov; Cornell LII; iShares QII memo,No US-Saudi income-tax or estate-tax treaty; 30% NRA withholding on dividends; USD 60000 estate threshold; §871(k) QII exemption exists (SGOV designated 100% QII Feb/Mar-2026),2026-09-08 (IRS pages reviewed Jan-Sep 2026),n/a,Consistent across sources,None,None,Provisional net-return assumptions; pending policy decision 1
Q0012,Vanguard pages (JS-only); etf.com (403); Nasdaq.com; WSJ; MarketWatch; Google Finance; Yahoo history for several tickers (404),Vanguard live NAV/spread for VTI/VOO; VBIL yield/NAV — NOT FOUND,2026-09-08,UNKNOWN,n/a,Access limitation,Used factsheets (30-Jun-2026) and third-party closes,VTI spread unknown (ITOT 0.01% used as proxy for planning)
Q0013,Workspace network proxy,Direct API access to Yahoo/stooq/FRED/Treasury/SEC/AlphaVantage/Finnhub/Polygon blocked (CONNECT 403); api.github.com reachable,2026-09-08T11:46:00Z,n/a,n/a,Capability limitation,Data via WebFetch/WebSearch only; GitHub pipeline proposed,Scheduled runs depend on page fetches; fills may be delayed to PENDING when unverifiable
Q0014,Ledger 03,Six Saudi ETF orders (T0002/3/6/7/10/11) cancelled at 2026-09-08T15:06:00+03:00 before any fill; status updated in place with cancellation timestamp; original rows retained,2026-09-08T15:06:00+03:00,n/a,Verified no fill possible (Saudi session had closed; orders were for next open),None,None,No portfolio impact; no hindsight (US open not yet observed)
